2,"""Estimates of resident population: number, by age group, annual 1993, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1993, MFP""","""001""","""P00001""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
3,"""Estimates of resident population: number, by age group, annual 1994, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1994, MFP""","""001""","""P00002""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
4,"""Estimates of resident population: number, by age group, annual 1995, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1995, MFP""","""001""","""P00003""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
5,"""Estimates of resident population: number, by age group, annual 1996, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1996, MFP""","""001""","""P00004""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
6,"""Estimates of resident population: number, by age group, annual 1997, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1997, MFP""","""001""","""P00005""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
7,"""Estimates of resident population: number, by age group, annual 1998, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1998, MFP""","""001""","""P00006""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
8,"""Estimates of resident population: number, by age group, annual 1999, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1999, MFP""","""001""","""P00007""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
9,"""Estimates of resident population: number, by age group, annual 2000, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2000, MFP""","""001""","""P00008""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
10,"""Estimates of resident population: number, by age group, annual 2001, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2001, MFP""","""001""","""P00009""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
11,"""Estimates of resident population: number, by age group, annual 2002, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2002, MFP""",NULL,"""P00010""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
12,"""Estimates of resident population: number, by age group, annual 2003, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2003, MFP""",NULL,"""P00011""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
