"PHEC_result_ID","PHEC_result_groups_ID","result_groups_approval_status","result_groups_capacity","result_groups_description","result_groups_display_name","result_groups_id","result_groups_image_display_url","result_groups_image_url","result_groups_is_organization","result_groups_name","result_groups_revision_id","result_groups_state","result_groups_title","result_groups_type"
"5","1","approved","member","ODS Datasets","ODS","f088c845-63d8-4aff-b30a-dddcdeb003d5","","","False","ods","d28d1d8b-8bf4-4e3d-932e-7ffc9eeb218d","active","ODS","group"
"6","2","approved","member","ODS Datasets","ODS","f088c845-63d8-4aff-b30a-dddcdeb003d5","","","False","ods","d28d1d8b-8bf4-4e3d-932e-7ffc9eeb218d","active","ODS","group"
"7","3","approved","member","ODS Datasets","ODS","f088c845-63d8-4aff-b30a-dddcdeb003d5","","","False","ods","d28d1d8b-8bf4-4e3d-932e-7ffc9eeb218d","active","ODS","group"
"8","4","approved","member","ODS Datasets","ODS","f088c845-63d8-4aff-b30a-dddcdeb003d5","","","False","ods","d28d1d8b-8bf4-4e3d-932e-7ffc9eeb218d","active","ODS","group"
"9","5","approved","member","ODS Datasets","ODS","f088c845-63d8-4aff-b30a-dddcdeb003d5","","","False","ods","d28d1d8b-8bf4-4e3d-932e-7ffc9eeb218d","active","ODS","group"
"10","6","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"11","7","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"12","8","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"13","9","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"14","10","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
