"PHEC_result_ID","PHEC_result_tags_ID","result_tags_display_name","result_tags_id","result_tags_name","result_tags_revision_timestamp","result_tags_state","result_tags_vocabulary_id"
"1","1","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2015-11-27T18:35:10.976147","active",""
"1","2","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2015-11-27T18:35:10.976147","active",""
"2","3","Catchment Area","dc5aa1cd-1e86-4cd6-82b0-1f605fb28816","Catchment Area","2016-09-29T09:06:59.786013","active",""
"2","4","GP Practice","473a7e6b-9827-4518-85d9-27be51bbee09","GP Practice","2016-09-29T09:06:59.786013","active",""
"2","5","KML","99c7adca-da0d-4d8b-a29f-9f2137dc0787","KML","2016-09-29T09:06:59.786013","active",""
"2","6","Monthly","f44070c3-fd77-4d8d-84b1-734d6ade1428","Monthly","2016-09-29T09:06:59.786013","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"3","7","prescibing","36b6ffe2-f5e5-4cb6-8f16-a7a3988487ef","prescibing","2016-08-18T11:31:13.920020","active",""
"4","8","prescibing","36b6ffe2-f5e5-4cb6-8f16-a7a3988487ef","prescibing","2016-08-18T11:30:28.629716","active",""
"5","9","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2015-03-02T16:28:02.651672","active",""
"5","10","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2015-03-02T16:28:02.651672","active",""
"6","11","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2015-03-02T16:27:57.662414","active",""
"6","12","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2015-03-02T16:27:57.662414","active",""
"7","13","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2015-03-02T16:27:48.018941","active",""
"7","14","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2015-03-02T16:27:48.018941","active",""
"8","15","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2015-03-02T16:27:44.027041","active",""
"8","16","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2015-03-02T16:27:44.027041","active",""
"9","17","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2015-03-02T16:27:38.907654","active",""
"9","18","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2015-03-02T16:27:38.907654","active",""
"10","19","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T12:18:14.740720","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"11","20","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:43:16.338837","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"12","21","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T12:15:41.331489","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"13","22","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T12:07:05.534428","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"14","23","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T12:06:49.426225","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"15","24","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T12:05:47.866819","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"16","25","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T12:05:31.241067","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"17","26","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T12:04:10.921140","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"18","27","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:32:34.692342","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"19","28","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:32:09.089279","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"20","29","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:54:17.724636","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"21","30","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:28:50.793976","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"22","31","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:28:39.734107","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"23","32","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:28:28.297097","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"24","33","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:28:06.386966","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"25","34","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:28:17.463575","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"26","35","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:27:54.996963","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"27","36","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:52:25.539411","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"28","37","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:51:05.179322","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"29","38","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:49:43.075429","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"30","39","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:48:16.281247","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"31","40","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:47:13.328268","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"32","41","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:46:57.634248","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"33","42","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:45:59.151423","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"34","43","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:43:54.188468","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"35","44","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:22:23.102377","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"36","45","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:22:08.797181","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"37","46","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:22:38.166677","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"38","47","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:21:54.665738","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"39","48","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:41:55.007964","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"40","49","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:20:52.153520","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"41","50","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:20:38.121124","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"42","51","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:36:28.949595","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"43","52","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:32:36.078929","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"44","53","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-08-02T11:28:26.226408","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"45","54","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:13:37.176321","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"46","55","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:13:28.308799","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"47","56","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-02-03T11:08:12.245301","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"48","57","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2016-06-25T18:50:19.068962","active",""
"48","58","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2016-06-25T18:50:19.068962","active",""
"49","59","ODS","6d8c876f-af9f-47f1-b7f6-4fa06a34ea3c","ODS","2016-07-29T18:35:24.417625","active",""
"49","60","Organisation Data Service","58d7465a-12ce-4337-a6f9-d9203cf7d0c0","Organisation Data Service","2016-07-29T18:35:24.417625","active",""
"50","61","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-07-13T09:54:26.285267","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"51","62","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-07-13T09:54:08.629826","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"52","63","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-07-13T09:53:49.466539","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"53","64","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-02-03T11:08:48.463949","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"54","65","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:13:18.638267","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"55","66","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:48:30.251203","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"56","67","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:47:56.714056","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"57","68","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:47:33.998405","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"58","69","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:46:52.351430","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"59","70","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:46:26.116715","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"60","71","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:46:06.194749","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"61","72","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:45:24.005145","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"62","73","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:45:52.265145","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"63","74","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:45:10.147476","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"64","75","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:44:56.341897","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"65","76","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:44:19.861344","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"66","77","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:44:36.696663","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"67","78","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:44:05.724586","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"68","79","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:43:32.107127","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"69","80","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:42:38.760962","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"70","81","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:42:01.913834","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"71","82","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:41:27.378138","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"72","83","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:40:52.668056","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"73","84","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:40:17.837890","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"74","85","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:39:45.815136","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
"75","86","Annually","ba37ab15-bec3-465f-bea4-a64c35781d8d","Annually","2016-01-12T18:39:14.740295","active","c3256a1a-839f-4dcc-8137-d17003e53c7c"
