"PHEC_result_ID","PHEC_geographical_coverage_ID","geographical_coverage"
"1","1","England"
"1","2","Wales"
"1","3","UK"
"1","4","Great Britain"
"2","1","England"
"3","1","England"
"3","2","Wales"
"3","3","UK"
"3","4","Great Britain"
"4","1","England"
"5","1","England"
"6","1","England"
"7","1","England"
"7","2","Wales"
"7","3","UK"
"7","4","Great Britain"
"8","1","England"
"9","1","England"
"9","2","Wales"
"9","3","UK"
"9","4","Great Britain"
"10","1","England"
"11","1","England"
"12","1","England"
"12","2","Wales"
"12","3","UK"
"12","4","Great Britain"
"13","1","England"
"13","2","Wales"
"13","3","UK"
"13","4","Great Britain"
"14","1","England"
"15","1","England"
"16","1","England"
"17","1","England"
"18","1","England"
"19","1","England"
"20","1","England"
"21","1","England"
"21","2","UK"
"22","1","England"
"23","1","England"
"23","2","UK"
"24","1","England"
"24","2","UK"
"24","3","Great Britain"
"25","1","England"
"26","1","England"
"26","2","UK"
"27","1","England"
"28","1","England"
"28","2","UK"
"29","1","England"
"30","1","England"
"31","1","England"
"32","1","England"
"32","2","UK"
"33","1","England"
"34","1","England"
"35","1","England"
"36","1","England"
"36","2","UK"
"37","1","England"
"38","1","England"
"39","1","England"
"40","1","England"
"40","2","UK"
"41","1","England"
"42","1","England"
"43","1","England"
"44","1","England"
"45","1","England"
"46","1","England"
"47","1","England"
"48","1","England"
"49","1","England"
"50","1","England"
"51","1","England"
"52","1","England"
"53","1","England"
"54","1","England"
"55","1","England"
"56","1","England"
"57","1","England"
"58","1","England"
"59","1","England"
"60","1","England"
"61","1","England"
"62","1","England"
"63","1","England"
"64","1","England"
"65","1","England"
"66","1","England"
"67","1","England"
"68","1","England"
"69","1","England"
"70","1","England"
"71","1","England"
"72","1","England"
"73","1","England"
"74","1","England"
"75","1","England"
"76","1","England"
"77","1","England"
"78","1","England"
"79","1","England"
"80","1","England"
"81","1","England"
"82","1","England"
"83","1","England"
"84","1","England"
"85","1","England"
"86","1","England"
"87","1","England"
"88","1","England"
"89","1","England"
"90","1","England"
"91","1","England"
"92","1","England"
"93","1","England"
"94","1","England"
"95","1","England"
"96","1","England"
"97","1","England"
"98","1","England"
"99","1","England"
"100","1","England"
"101","1","England"
"102","1","England"
"103","1","England"
"104","1","England"
"105","1","England"
"106","1","England"
"107","1","England"
"108","1","England"
"109","1","England"
"110","1","England"
"111","1","England"
"112","1","England"
"113","1","England"
"114","1","UK"
"115","1","England"
"116","1","England"
"117","1","UK"
"118","1","England"
"119","1","England"
"120","1","UK"
"121","1","England"
"122","1","England"
"122","2","Great Britain"
"123","1","England"
"123","2","Great Britain"
"124","1","England"
"125","1","England"
"125","2","Great Britain"
"126","1","England"
"126","2","Great Britain"
"127","1","England"
"128","1","England"
"128","2","Great Britain"
"129","1","England"
"130","1","England"
"130","2","Great Britain"
"131","1","England"
"132","1","UK"
"133","1","UK"
"134","1","England"
"135","1","England"
"136","1","England"
"137","1","England"
"138","1","England"
"139","1","England"
"140","1","England"
"141","1","England"
"142","1","England"
"143","1","England"
"144","1","England"
"145","1","England"
"146","1","England"
"147","1","England"
"148","1","England"
"149","1","England"
"150","1","England"
"151","1","England"
"152","1","England"
"153","1","England"
"154","1","England"
"155","1","England"
"156","1","England"
"157","1","England"
"158","1","England"
"159","1","England"
"160","1","England"
"161","1","England"
"162","1","England"
"163","1","England"
"164","1","England"
"165","1","England"
"166","1","England"
"167","1","England"
"168","1","England"
"169","1","England"
"170","1","England"
"171","1","England"
"172","1","England"
"173","1","England"
"174","1","England"
"175","1","England"
"176","1","England"
"177","1","England"
"178","1","England"
"179","1","England"
"180","1","England"
"181","1","England"
"182","1","England"
"183","1","England"
"184","1","England"
"185","1","England"
"185","2","Wales"
"186","1","England"
"186","2","Wales"
"187","1","England"
"188","1","England"
"189","1","England"
"190","1","England"
"191","1","UK"
"192","1","UK"
"193","1","England"
"194","1","England"
"195","1","England"
"196","1","England"
"196","2","Wales"
"196","3","Northern Ireland"
"197","1","Great Britain"
"198","1","UK"
"199","1","UK"
"200","1","UK"
"201","1","UK"
"202","1","England"
"202","2","Wales"
"202","3","Northern Ireland"
"203","1","England"
"203","2","Wales"
"204","1","England"
"204","2","Wales"
"205","1","England"
"206","1","England"
"207","1","Scotland"
"208","1","England"
"209","1","England"
"209","2","Wales"
"210","1","England"
"211","1","England"
"212","1","Great Britain"
"213","1","England"
"214","1","England"
"215","1","Great Britain"
"216","1","England"
"217","1","England"
"218","1","England"
"218","2","Wales"
"219","1","England"
"219","2","Wales"
"220","1","England"
"221","1","England"
"221","2","Wales"
"222","1","England"
"222","2","Wales"
"223","1","England"
"224","1","England"
"224","2","Wales"
"225","1","England"
"226","1","England"
"227","1","Great Britain"
"228","1","England"
"229","1","England"
"229","2","Wales"
"230","1","England"
"230","2","Wales"
"231","1","England"
"232","1","England"
"232","2","Wales"
"233","1","England"
"233","2","Wales"
"234","1","England"
"235","1","England"
"236","1","England"
"236","2","Wales"
"237","1","England"
"237","2","Wales"
"238","1","England"
"239","1","Northern Ireland"
"240","1","England"
"241","1","England"
"241","2","Wales"
"242","1","Northern Ireland"
"243","1","England"
"244","1","England"
"244","2","Wales"
"245","1","Northern Ireland"
"246","1","England"
"246","2","Wales"
"247","1","England"
"247","2","Wales"
"248","1","England"
"248","2","Wales"
"249","1","England"
"250","1","Scotland"
"251","1","England"
"251","2","Wales"
"252","1","England"
"253","1","England"
"254","1","England"
"255","1","England"
"256","1","England"
"257","1","England"
"257","2","Wales"
"258","1","England"
"258","2","Wales"
"259","1","England"
"260","1","England"
"261","1","England"
"262","1","England"
"263","1","Scotland"
"264","1","England"
"265","1","England"
"266","1","England"
"267","1","UK"
"268","1","UK"
"269","1","England"
"269","2","Wales"
"270","1","England"
"271","1","England"
"272","1","England"
"273","1","England"
"274","1","England"
"274","2","Wales"
"275","1","England"
"276","1","Northern Ireland"
"277","1","England"
"278","1","England"
"279","1","England"
"280","1","England"
"281","1","England"
"282","1","England"
"282","2","Wales"
"283","1","England"
"284","1","England"
"285","1","England"
"286","1","England"
"287","1","England"
"288","1","England"
"289","1","England"
"290","1","England"
"291","1","England"
"292","1","England"
"293","1","England"
"294","1","England"
"295","1","England"
"296","1","England"
"297","1","England"
"298","1","England"
"299","1","England"
"300","1","England"
"301","1","England"
"302","1","England"
"303","1","England"
"304","1","England"
"305","1","England"
"306","1","England"
"307","1","England"
"308","1","England"
"309","1","England"
"310","1","England"
"310","2","Wales"
"311","1","England"
"312","1","England"
"312","2","Wales"
"313","1","England"
"314","1","England"
"315","1","England"
"316","1","England"
"317","1","England"
"318","1","England"
"319","1","England"
"320","1","England"
"321","1","England"
"322","1","England"
"323","1","England"
"324","1","England"
"325","1","England"
"326","1","England"
"327","1","England"
"328","1","England"
"329","1","England"
"330","1","England"
"331","1","England"
"332","1","England"
"333","1","England"
"334","1","England"
"334","2","Wales"
"335","1","England"
"336","1","England"
"337","1","England"
"338","1","England"
"339","1","England"
"340","1","England"
"341","1","England"
"342","1","England"
"342","2","Wales"
"343","1","England"
"344","1","England"
"345","1","England"
"345","2","Wales"
"346","1","England"
"347","1","England"
"348","1","England"
"349","1","England"
"349","2","Wales"
"350","1","England"
"351","1","England"
"352","1","England"
"353","1","England"
"354","1","England"
"355","1","England"
"356","1","England"
"357","1","England"
"358","1","England"
"359","1","England"
"360","1","England"
"361","1","England"
"362","1","England"
"363","1","England"
"364","1","England"
"365","1","England"
"366","1","England"
"367","1","England"
"368","1","England"
"369","1","England"
"370","1","England"
"371","1","England"
"372","1","England"
"373","1","England"
"374","1","England"
"375","1","England"
"376","1","England"
"377","1","England"
"378","1","England"
"379","1","England"
"380","1","England"
"381","1","England"
"382","1","England"
"383","1","England"
"384","1","England"
"385","1","England"
"386","1","England"
"387","1","England"
"388","1","England"
"389","1","England"
"390","1","England"
"391","1","England"
"392","1","England"
"393","1","England"
"394","1","England"
"395","1","England"
"396","1","England"
"397","1","England"
"398","1","England"
"399","1","England"
"400","1","England"
"401","1","England"
"401","2","Wales"
"402","1","England"
"403","1","England"
"404","1","England"
"405","1","England"
"406","1","England"
"407","1","England"
"408","1","England"
"409","1","England"
"410","1","UK"
"410","2","Great Britain"
"411","1","England"
"412","1","UK"
"412","2","Great Britain"
"413","1","England"
"414","1","England"
"415","1","England"
"416","1","England"
"417","1","England"
"418","1","England"
"419","1","England"
"420","1","UK"
"420","2","Great Britain"
"421","1","England"
"422","1","UK"
"422","2","Great Britain"
"423","1","England"
"424","1","UK"
"424","2","Great Britain"
"425","1","UK"
"426","1","England"
"427","1","UK"
"428","1","England"
"429","1","England"
"430","1","England"
"431","1","England"
"432","1","England"
"433","1","England"
"434","1","England"
"435","1","England"
"436","1","England"
"437","1","England"
"438","1","England"
"439","1","England"
"440","1","England"
"441","1","England"
"441","2","Wales"
"442","1","England"
"443","1","England"
"444","1","England"
"445","1","England"
"446","1","England"
"447","1","England"
"448","1","England"
"449","1","England"
"450","1","England"
"451","1","England"
"452","1","England"
"453","1","England"
"454","1","England"
"455","1","England"
"456","1","England"
"457","1","England"
"458","1","England"
"459","1","England"
"460","1","England"
"461","1","England"
"462","1","England"
"462","2","Wales"
"463","1","UK"
"464","1","England"
"464","2","Wales"
"465","1","England"
"465","2","Wales"
"466","1","England"
"466","2","Wales"
"467","1","UK"
"468","1","UK"
"469","1","England"
"469","2","Wales"
"470","1","UK"
"471","1","England"
"471","2","Wales"
"472","1","England"
"472","2","Wales"
"473","1","UK"
"474","1","UK"
"475","1","England"
"475","2","Wales"
"476","1","UK"
"476","2","International"
"477","1","UK"
"477","2","International"
"478","1","UK"
"479","1","England"
"479","2","Wales"
"480","1","England"
"480","2","Wales"
"480","3","UK"
"481","1","UK"
"482","1","England"
"482","2","Wales"
"483","1","UK"
"484","1","UK"
"485","1","England"
"485","2","Wales"
"486","1","UK"
"487","1","England"
"487","2","Wales"
"488","1","England"
"488","2","Wales"
"489","1","UK"
"490","1","England"
"490","2","Wales"
"491","1","England"
"491","2","Wales"
"492","1","England"
"492","2","Wales"
"493","1","UK"
"494","1","UK"
"495","1","England"
"495","2","Wales"
"496","1","England"
"496","2","Wales"
"497","1","UK"
"497","2","International"
"498","1","UK"
"499","1","UK"
"500","1","UK"
"501","1","UK"
"502","1","UK"
"503","1","UK"
"503","2","International"
"504","1","England"
"505","1","England"
"505","2","Wales"
"506","1","UK"
"507","1","UK"
"508","1","UK"
"509","1","UK"
"510","1","England"
"510","2","Wales"
"510","3","Northern Ireland"
"511","1","UK"
"512","1","UK"
"513","1","England"
"513","2","Wales"
"513","3","Northern Ireland"
"514","1","England"
"515","1","UK"
"516","1","UK"
"517","1","England"
"517","2","Wales"
"518","1","England"
"518","2","Wales"
"519","1","England"
"519","2","Wales"
"520","1","England"
"520","2","Wales"
"521","1","England"
"522","1","England"
"522","2","Wales"
"523","1","England"
"524","1","England"
"524","2","Wales"
"525","1","England"
"525","2","Wales"
"526","1","UK"
"527","1","UK"
"527","2","Great Britain"
"528","1","UK"
"528","2","Great Britain"
"529","1","England"
"530","1","England"
"531","1","England"
"531","2","UK"
"532","1","UK"
"532","2","Great Britain"
"533","1","England"
"534","1","England"
"535","1","England"
"536","1","England"
"537","1","England"
"538","1","England"
"539","1","England"
"540","1","England"
"541","1","England"
"542","1","England"
"543","1","England"
"544","1","England"
"545","1","England"
"546","1","England"
"547","1","England"
"548","1","England"
"549","1","England"
"550","1","England"
"551","1","England"
"552","1","England"
"553","1","England"
"554","1","England"
"555","1","England"
"556","1","England"
"557","1","England"
"558","1","England"
"559","1","England"
"560","1","England"
"561","1","England"
"562","1","England"
"563","1","England"
"564","1","England"
"565","1","England"
"566","1","England"
"567","1","England"
"568","1","England"
"569","1","England"
"570","1","England"
"571","1","England"
"572","1","England"
"573","1","England"
"574","1","England"
"575","1","England"
"576","1","England"
"577","1","England"
"578","1","England"
"579","1","England"
"580","1","England"
"581","1","England"
"582","1","England"
"583","1","England"
"583","2","Wales"
"584","1","England"
"584","2","Wales"
"585","1","England"
"585","2","Wales"
"586","1","England"
"587","1","England"
"588","1","England"
"589","1","England"
"590","1","England"
"591","1","England"
"592","1","England"
"593","1","England"
"594","1","England"
"595","1","England"
"596","1","England"
"597","1","England"
"598","1","England"
"599","1","England"
"600","1","England"
"601","1","England"
"602","1","England"
"603","1","England"
"604","1","England"
"605","1","England"
"606","1","England"
"607","1","England"
"608","1","England"
"609","1","England"
"610","1","England"
"611","1","England"
"612","1","England"
"613","1","England"
"614","1","England"
"615","1","England"
"616","1","England"
"617","1","England"
"618","1","England"
"619","1","England"
"620","1","England"
"621","1","England"
"622","1","England"
"623","1","England"
"624","1","England"
"625","1","England"
"626","1","England"
