"PHEC_result_ID","PHEC_key_facts_ID","key_facts"
"1","1","<ul><li>In England in 2004, 74 per cent of men and 59 per cent of women reported drinking an alcoholic drink on at least one day in the week prior to interview. Fifteen per cent of men and 8 per cent of women reported drinking on every day in the previous week </li><li>Thirty-nine per cent of men and 22 per cent of women had drunk more than the recommended number of units on at least one day in the week prior to interview </li><li>Older people were more likely to drink regularly - 30 per cent of men and 19 per cent of women aged 45-64 drank on five or more days in the week prior to interview compared to 8 per cent of men and 5 per cent of women aged 16-24. Younger people were more likely to drink heavily, with 48 per cent of men and 39 per cent of women aged 16-24 drinking above the daily recommendations compared to 19 per cent of men and 5 per cent of women aged 65 and over </li><li>In the UK in 2004, 61 per cent of people reported that they had heard of the government guidelines on alcohol intake. Of these people, more than a third (36 per cent) said that they did not know what the recommendations were </li><li>In 2005, 22 per cent of pupils in England aged 11-15 reported drinking alcohol in the week prior to interview; the proportion doing so has fluctuated around this level since the mid 1990s. Average weekly consumption almost doubled between 1990 (5.3 units) and 2000 (10.4 units), fluctuating around this level since then </li><li>In the UK in 2000, 30 per cent of mothers who drank before pregnancy reported giving up drinking during pregnancy. Those mothers who continued to drink during pregnancy reported drinking very little, with 71 per cent consuming less than 1 unit of alcohol a week, on average </li><li>In 2004/05, there were around 35,600 NHS hospital admissions with a primary diagnosis of mental and behavioural disorders due to alcohol. </li></ul>"
"2","1","<h3>Among adults aged 16 to 59 living in England and Wales </h3><ul><li>In 2005/06, 10.5 per cent of adults had used one or more illicit drug in the last year, a decrease from 12.1 per cent in 1998. </li><li>6.3 per cent had used an illicit drug in the last month, a fall from 7.1 per cent in 1998. </li><li>The use of any Class A drug in the last year has increased, from 2.7p er cent in 1998 to 3.4 per cent in 2005/06, mainly due to a rise in the use of cocaine powder. </li><li>Men are more likely to take illicit drugs than women, 13.7 per cent of men compared with 7.4 per cent of women took drugs in the last year. </li><li>People living within the South West Government Office Region reported higher levels of any illicit drug use, compared to the total for England and Wales. For Class A drugs, the highest levels were found among those living in London. </li><li>For younger adults aged 16 to 24, drug use in the last year fell between 1998 and 2005/06, from 31.8 per cent to 25.2 per cent , whilst the use of Class A drug use has remained stable. </li></ul><h3>Among children aged 11 to 15 living in England </h3><ul><li>In 2006, 9 per cent of pupils reported taking drugs in the last month, a fall from 11 per cent in 2005. While the proportion of pupils reporting taking drugs in the last month has fluctuated in recent years, overall it has fallen from 12 per cent in 2001. </li><li>In 2006, 17 per cent of pupils reported taking drugs in the last year, a fall from 19 per cent in 2005. Again this has fluctuated since 2001 when it was 20 per cent . </li><li>4 per cent of pupils said that they took drugs at least once a month in 2006, a decrease from 6 per cent in 2005. </li><li>Similar to previous years, drug use increases with age; among 11 year olds 3 per cent reporting taking drugs in the last month compared with 17 per cent of 15 year olds. </li><li>For 15 year olds, 29 per cent reported taking drugs in the last year and 8 per cent said they used drugs at least once a month. </li><li>Similar proportions of boys and girls took drugs in the last year, but boys were more likely to have taken drugs in the last month. </li><li>4 per cent of pupils reported using any Class A drug in the last year, a figure unchanged since 2001. </li><li>Cannabis was the drug most commonly taken during 2006, when 10.1 per cent of pupils reported using the drug. This proportion is lower than 2001, when the proportion was 13.4 per cent. </li><li>As in previous years, pupils who said they had truanted or been excluded were more likely to have taken drugs in the last month compared to those who had not truanted or been excluded (11 per cent compared to 1 per cent). </li><li>Among pupils who had truanted or been excluded from school, the proportion who took drugs at least once a month is lower than in previous years. The level of regular drug taking among this group was 20 per cent in 2003, 16 per cent in 2004, 17 per cent in 2005 and 11 per cent in 2006. </li><li>In 2005, 39 per cent of pupils reported ever been offered drugs. </li><li>For 15 year olds, 52 per cent reported ever being offered cannabis with 18 per cent having ever been offered cocaine and ecstasy. </li><li>Awareness of illicit drugs among pupils is high. In 2005 over 90 per cent had heard of cocaine, heroin and cannabis. </li><li>A third of pupils (33 per cent) thought it would be easy to obtain illegal drugs. </li><li>European figures show that 38 per cent of 15 and 16 year olds in the UK had tried cannabis ???????? one of the highest rates among 35 European countries. </li></ul><h3>Health Outcomes </h3><ul><li>In England in 2005/06 there were 8,113 Finished Consultant Episodes (FCE's) with a primary diagnosis of a drug related mental health and behavioural disorder, a number that has remained relatively stable over the last ten years. Where there was a secondary diagnosis recorded, in 2005/06 there were 38,364 FCEs compared with 13,285 in 1996/97 of such admissions. </li><li>Where a primary diagnosis of poisoning by drugs was recorded, 11,260 FCEs were reported during 2005/06, a 50 per cent increase from 1996/97 when the number of such admissions was 7,440. </li><li>During 2005/06 181,390 people were in contact with structured drug treatment services. This is a 13 per cent increase on figures during 2004/05, where the number was 160,453 and more than twice the number in 1998/99. </li><li>In 2004/05, a larger number of men accessed treatment services than women (114,598 men compared to 45,852 women). </li><li>Overall, heroin was the main drug for which people received treatment (64 per cent of all treatments), whilst for clients aged under 18, it was cannabis (67 per cent). </li><li>The total number of deaths related to drug misuse in England and Wales increased from 829 in 1993 to 1805 in 2001 and was 1608 in 2005, an increase from 1495 in 2004. </li></ul>"
"3","1","<p><font size=2>Note: Figures showing the proportion of 11-13 year olds reporting drinking in the last week have been updated following advice from our contractors. The message remains the same - the proportion of 11-13 year olds reporting having a drink in the last seven days has fallen from 2001 to 2006, although the proportions doing so in each year are lower.</font></p><h3><font size=2>Drinking among adults: </font></h3><ul><li><font size=2>in England in 2005, 73 per cent of men and 58 per cent of women reported drinking an alcoholic drink on at least one day in the week prior to interview. Thirteen per cent of men and 8 per cent of women reported drinking on every day in the previous week </font></li><li><font size=2>thirty four per cent of men and 20 per cent of women had drunk more than the recommended number of units on at least one day in the week prior to interview. Eighteen per cent of men and 8 per cent of women had drunk more than twice the recommended daily intake </font></li><li><font size=2>older people were more likely to drink regularly 28 per cent of men and 18 per cent of women aged 45-64 drank on five or more days in the week prior to interview compared to 10 per cent of men and 5 per cent of women aged 16-24. Younger people were more likely to drink heavily, with 42 per cent of men and 36 per cent of women aged 16-24 drinking above the daily recommendations, compared to 16 per cent of men and 4 per cent of women aged 65 and over </font></li><li><font size=2>among men, 24 per cent reported drinking on average more than 21 units in a week. For women, 13 per cent reported drinking more than 14 units in an average week </font></li><li><font size=2>in Great Britain in 2006, 69 per cent of adults reported that they had heard of the Government guidelines on alcohol consumption. Of these adults, more than a third said that they did not know what the recommendations were </font></li><li><font size=2>thirty two per cent of adults had seen units of alcohol displayed on labels of alcoholic drinks, compared to 23 per cent in 2000. </font></li><li><font size=2>in England in 2005, 45 per cent of pregnant women did not drink during pregnancy, while 39 per cent reported drinking on average less than 1 unit a week and only 8 per cent drank 1 to 2 units.</font></li></ul><h3><font size=2>Drinking among school children: </font></h3><ul><li><font size=2>in 2006, 21 per cent of pupils in England aged 11-15 reported drinking alcohol in the week prior to interview; continuing the recent decreasing trend since 2001. </font></li><li><font size=2>since 2001, the proportion of pupils who have never drunk alcohol has risen; in 2006, 46 per cent of pupils said they had never had a proper alcoholic drink, compared to 39 per cent in 2001. </font></li><li><font size=2>among pupils who had drunk alcohol in the week prior to interview, the average weekly consumption has almost doubled from 5.3 units in 1990 to 10.4 units in 2000. Weekly consumption has since fluctuated around this level and in 2006 was estimated at 11.4 units. However, consumption among children aged 11-13 has continued to increase, from 5.6 units in 2001 to 10.1 units in 2006. The proportion of pupils in this age group who reported having a drink in the last seven days has decreased in the same time period from 14 per cent in 2001 to 9 per cent in 2006.</font></li></ul><h3><font size=2>Drinking related ill health and mortality: </font></h3><ul><li><font size=2>in 2005/06, there were 187,640 NHS hospital admissions among adults aged 16 and over with either a primary or secondary diagnosis specifically related to alcohol. This has more than doubled from 89,280 in 1995/96 </font></li><li><font size=2>among children under 16 there were 5,280 NHS Hospital admissions in 2005/06 with either a primary or secondary diagnosis specifically related to alcohol. This represents an overall increase of just over a third from 3,870 in 1995/96 </font></li><li><font size=2>in 2005, 6,570 people died from causes directly linked to alcohol consumption, of these just under two thirds (4,160) died from alcoholic liver disease. Two thirds (67 per cent) of those dying from alcoholic liver disease were men.</font></li></ul><h3><font size=2>Alcohol related costs: </font></h3><ul><li><font size=2>in 2004, the Government estimated that alcohol misuse costs the health service between ?1.4 and ?1.7 billion per year </font></li><li><font size=2>the volume of pure alcohol released for home consumption per person aged 16 and over has increased from 9.4 litres in 1993/94 to 11.4 litres in 2005/06 </font></li><li><font size=2>in 2006, alcohol was 65 per cent more affordable than it was in 1980. Household expenditure on alcohol has increased steadily since 1980 as has total household expenditure; however expenditure on alcohol as a proportion of total household expenditure has decreased steadily over the same period standing at 5.2 per cent in 2006 compared to 7.5 per cent in 1980.</font></li></ul>"
"4","1","<p>In 2004-2005 family planning clinics in England recorded about 2.6 million attendances, made by about 1.2 million different women and 99,000 men, a decrease of 2-3% compared with the corresponding figures for 2003-2004. </p><p>Emergency contraception was prescribed by clinics on 179,000 occasions, a decrease of 5% compared with 2003-04.</p>"
"5","1","<ul><li>There were about 2.6 million attendances at NHS community contraception clinics made by about 1.2 million women </li><li>Of the 1.2 million women attending community contraception clinics, the proportion aged under 16 has grown over the last 10 years from just over 5 per cent to nearly 7 per cent </li><li>The peak age group for clinic attendance was 16-19; an estimated 22 per cent, based on the rate per 100 population, of women in this age group visited a clinic during the year. The equivalent figure for 15 year olds and under is just under 9 per cent. Figures for both age groups remain unchanged from the previous year </li><li>Long Acting Reversible Contraception (LARC) accounted for almost 20 per cent of primary method of contraception. LARC includes: IUD, injectable contraception, implants and IUS.</li></ul>"
"6","1","<ul><li>In 2005, 11 per cent of secondary school children in England reported using drugs in the month prior to interview while 19 per cent reported using drugs in the year prior to interview; </li><li>Among 11 year olds, 4 per cent had sniffed volatile substances in the last year while 1 per cent had taken cannabis. Among 15 year olds, 7 per cent reported using volatile substances compared to 27 per cent who used cannabis; </li><li>Among secondary school children who had taken drugs in the year prior to interview in 2003, 43 per cent reported wanting to give up immediately, but 13 per cent said they did not want to stop; </li><li>In 2003, 17 per cent of secondary school children thought it was acceptable to try cannabis, 10 per cent thought it acceptable to try sniffing glue and 4 per cent believed it OK to try cocaine; </li><li>26.3 per cent of young adults aged 16-24 reported using drugs in the year prior to interview in England and Wales in 2004/05. 16.3 per cent had used drugs in the month prior to interview. Almost half (45.8 per cent) reported that they had ever used drugs; </li><li>More young men than young women reported using drugs in the year prior to interview (32.9 per cent compared with 20.8 per cent); Between 1998 and 2004/05, the reported prevalence of drug use among young adults in the month prior to interview decreased from 20.8 per cent to 16.3 per cent and in the year prior to interview decreased from 31.8 per cent to 26.3 per cent; </li><li>Among young people aged between 10 and 25 living in England and Wales in 2004 who had ever used drugs, almost half (48 per cent) reported first using a drug between the ages of 10 and 15; Deaths related to drug misuse fell between 2000 and 2004. Among young people under the age of 30, deaths fell from 583 to 401. </li></ul>"
"7","1","<h4><font size=2>Drinking among adults </font></h4><ul><li><font size=2>in England in 2006, 72 per cent of men and 57 per cent of women reported drinking an alcoholic drink on at least one day in the week prior to interview. Twelve per cent of men and seven per cent of women reported drinking on every day in the previous week </font></li><li><font size=2>in Great Britain in 2007, 69 per cent of people reported that they had heard of the government guidelines on alcohol consumption. Of these people, 40 per cent said that they did not know what the recommendations were. </font></li></ul><h4><font size=2>Drinking among school children </font></h4><p><font size=2>In England in 2006, among pupils aged 11 to 15: </font></p><ul><li><font size=2>Forty five per cent of pupils said they had never had a proper alcoholic drink (a whole drink and not just a sip), an increase compared to 39 per cent in 2001 </font></li><li><font size=2>Fifteen per cent of pupils thought it was okay to get drunk at least once a week. This figure was 30 per cent for 15 year olds. </font></li></ul><h4><font size=2>Drinking-related ill-health and mortality </font></h4><p><font size=2>In England: </font></p><ul><li><font size=2>in 2007, there were 112,267 prescription items for drugs for the treatment of alcohol dependency prescribed in primary care settings; an increase of 20 per cent since 2003 when there was 93,241 prescription items </font></li><li><font size=2>in 2006/07, there were 57,142 NHS hospital admissions with a primary diagnosis specifically related to alcohol. This number has risen by 52 per cent since 1995/96. Of these admissions, 4,888 (nine per cent) involved patients under 18 years of age </font></li><li><font size=2>in 2006/07, NHS hospital admissions per 100,000 population varied regionally throughout England. In 2006/07 the North West Strategic Health Authority had the highest rate of 170 admissions with a primary diagnosis specifically related to alcohol per 100,000 population. The East of England Strategic Health Authority showed the lowest rate of 72 admissions per 100,000 population. </font></li></ul>"
"8","1","<ul><li>there have been around 2.6 million attendances at NHS community contraception clinics every year over the last decade, but there was a decline of 4 per cent to 2.5 million in 2006-07. These attendances are made predominantly (91 per cent) by women: about 1.1 million and 0.1 million men </li><li>of the 1.1 million women attending community contraception clinics, the proportion aged under 16 has increased over the last 10 years from 6 per cent to 7 per cent </li><li>the number of men attending clinics has increased by 48 per cent over the last 10 years to 117,000. In 2006-07, there was an increase of 20 per cent in males attendances on 2005-06, mainly due to an increase in the 16-17 age group (54 per cent) with about 30,000 visiting a clinic </li><li>Long Acting Reversible Contraceptives (LARCs) accounted for 21 per cent of primary methods of contraception. LARCs include: IUD, injectable contraception, implants and IUS. </li></ul>"
"9","1","<h4><font size=2>Drinking behaviour among adults and children </font></h4><ul><li><font size=2>in 2007, 73 per cent of men and 57 per cent of women reported drinking an alcoholic drink on at least one day in the week prior to interview. 13 per cent of men and 7 per cent of women reported drinking on every day in the previous week </font></li><li><font size=2>in 2007, 41 per cent of men drank over 4 units on at least one day in the week prior to interview and 34 per cent of women drank more than 3 units on at least one day in the week prior to interview. Twenty five per cent of men reported drinking over 8 units and 16 per cent of women reported drinking over 6 units on at least one day in the week prior to interview </font></li><li><font size=2>the method used for calculating the number of alcoholic units drunk changed in recent years, so a complete time series is not available. Using the original method, among men between 1998 and 2006 the proportion drinking more than 8 units on at least one day of the week prior to interview fell from 22 per cent to 18 per cent, among women drinking more than 6 units on at least one day of the week prior to interview, no such reduction was seen </font></li><li><font size=2>in 2006, 31 per cent of men reported drinking more than 21 units in an average week. For women, 20 per cent reported drinking more than 14 units in an average week </font></li><li><font size=2>using the original method of unit conversion, among men between 1998 and 2006 the proportion drinking more than 21 units a week on average fell from 28 per cent to 23 per cent, the percentage of women drinking more than 14 units in an average week fell from 15 per cent to 13 per cent in the same time period </font></li><li><font size=2>in 2007, 20 per cent of school pupils aged 11 to 15 reported drinking alcohol in the week prior to interview; this figure is lower than 2001, when 26 per cent of pupils reported drinking in the last week </font></li><li><font size=2>in 2007, 46 per cent of pupils said they had never had a proper alcoholic drink, compared to 39 per cent in 2003 </font></li><li><font size=2>in 2007, pupils who drank in the last week consumed an average of 12.7 units. </font></li></ul><h4><font size=2>Knowledge and attitudes to alcohol </font></h4><p><font size=2>In 2007:</font></p><ul><li><font size=2>ninety two per cent of men and 89 per cent of women reported that they had heard of measuring alcohol in units. There was less knowledge of the recommended maximum daily intake; 35 per cent of men and 47 per cent of women had heard of units but said they didn't know what the recommendations were for men, and 39 per cent of men and 43 per cent of women similarly knew about units but said they did not know the recommendations for women </font></li><li><font size=2>sixteen per cent of men and 14 per cent of women who had drunk in the last year said they would like to drink less </font></li><li><font size=2>forty one per cent of pupils thought it was OK to drink alcohol once a week and 17 per cent thought it was OK to get drunk at least once a week.</font></li></ul><h4><font size=2>Drinking related costs, ill health and mortality </font></h4><ul><li><font size=2>in 2007, 33 per cent of men and 16 per cent of women (24 per cent of adults) were classified as hazardous drinkers. Six per cent of men and two per cent of women were estimated to be harmful drinkers, the most serious form of hazardous drinking, which means that damage to health is likely. Among adults aged 16 to 74, nine per cent of men and four per cent of women showed some signs of alcohol dependence. The prevalence of alcohol dependence is slightly lower for men than it was in 2000 when 11.5 per cent of men showed some signs of dependence. There was no significant change for women between 2000 and 2007 </font></li><li><font size=2>in 2007/08 there were 863,300 alcohol related admissions to hospital. This is an increase of 69 per cent since 2002/03 when there were 510,200 alcohol related admissions </font></li><li><font size=2>in 2007/8 62 per cent of alcohol related admissions were for men. Among both men and women there were more admissions in the older age groups than in the younger age groups </font></li><li><font size=2>in England in 2007, there were 134,429 prescription items for drugs for the treatment of alcohol dependency prescribed in primary care settings or NHS hospitals and dispensed in the community. This is an increase of 31 per cent since 2003 when there were 102,741 prescription items </font></li><li><font size=2>in 2007, in England, there were 6,541 deaths directly related to alcohol this has increased by 19 per cent since 2001. Of these alcohol related deaths, the majority (4,249) died from alcoholic liver disease </font></li><li><font size=2>it is estimated that the cost of alcohol related harm to the NHS in England is ?2.7 billion in 2006/07 prices. </font></li></ul>"
"10","1","<ul><li><font size=2>overall drug use has fallen in recent years for both adults and children. </font></li><li><font size=2>hospital admissions with a primary diagnosis of a drug-related mental health and behavioural disorder have decreased, while admissions with a primary diagnosis of poisoning by drugs have increased. </font></li><li><font size=2>the number in contact with structured drug treatment services have increased. <br>the number of drug-related deaths shows no overall trend. </font></li><li><font size=2>more men than women had used drugs in the last year, been in contact with structured drug treatment services and died as a result of drug misuse. </font></li></ul><p><font size=2>[Please note: since original publication there has been an amendment to the footnotes of tables 4.7, 4.8 and 4.9. The change clarifies the ICD-10 codes used.] </font></p>"
