"PHEC_result_ID","PHEC_keywords_ID","keywords"
"1","1","Drink"
"1","2","Alcohol"
"1","3","Alcohol dependency"
"1","4","Drinking"
"1","5","child health"
"1","6","adult health"
"1","7","Hospital admissions"
"1","8","Alcohol abuse"
"1","9","hazardous drinking"
"1","10","binge drinking"
"1","11","cost of alcohol"
"1","12","attitudes to alcohol"
"1","13","affordability of alcohol"
"1","14","alcohol attributable"
"1","15","alcohol consumption"
"1","16","drinking behaviour"
"1","17","drinking in children"
"1","18","harmful drinking"
"1","19","prescriptions for alcohol dependency"
"1","20","types of alcohol"
"1","21","units"
"1","22","alcohol-related deaths"
"1","23","alcohol-related hospital admissions"
"2","1","Drug use"
"2","2","Prevalence"
"2","3","Drugs"
"2","4","adults"
"2","5","Drug treatment"
"2","6","Hospital admissions"
"2","7","children"
"2","8","misuse"
"2","9","drug-related"
"2","10","Drug misuse"
"2","11","substance misuse"
"3","1","Drink"
"3","2","Alcohol"
"3","3","Alcohol dependency"
"3","4","Drinking"
"3","5","child health"
"3","6","adult health"
"3","7","Hospital admissions"
"3","8","Alcohol abuse"
"3","9","hazardous drinking"
"3","10","binge drinking"
"3","11","cost of alcohol"
"3","12","attitudes to alcohol"
"3","13","affordability of alcohol"
"3","14","alcohol attributable"
"3","15","alcohol consumption"
"3","16","drinking behaviour"
"3","17","drinking in children"
"3","18","harmful drinking"
"3","19","prescriptions for alcohol dependency"
"3","20","types of alcohol"
"3","21","units"
"3","22","alcohol-related deaths"
"3","23","alcohol-related hospital admissions"
"4","1","Sexual health services"
"4","2","Contraceptives"
"4","3","Family planning"
"4","4","KT31"
"4","5","contraceptive pill"
"4","6","Contraception"
"4","7","LARCs"
"4","8","intra-uterine devices"
"4","9","IUD"
"4","10","intra-uterine system"
"4","11","IUS"
"4","12","Injectibles"
"4","13","implants"
"4","14","Emergency hormonal contraception"
"4","15","EHC"
"4","16","vasectomy"
"4","17","condom"
"4","18","sterilisation"
"4","19","Long-acting reversable contraceptives"
"5","1","Sexual health services"
"5","2","Contraceptives"
"5","3","Family planning"
"5","4","KT31"
"5","5","contraceptive pill"
"5","6","LARCs"
"5","7","intra-uterine devices"
"5","8","IUD"
"5","9","intra-uterine system"
"5","10","IUS"
"5","11","Injectibles"
"5","12","implants"
"5","13","Emergency hormonal contraception"
"5","14","EHC"
"5","15","vasectomy"
"5","16","condom"
"5","17","sterilisation"
"5","18","Long-acting reversable contraceptives"
"6","1","Drug use"
"6","2","Prevalence"
"6","3","Drugs"
"6","4","adults"
"6","5","Drug treatment"
"6","6","Hospital admissions"
"6","7","children"
"6","8","drug-related"
"6","9","Hospital episodes"
"6","10","Drug abuse"
"6","11","Drug addiction"
"6","12","Drug misuse"
"6","13","substance misuse"
"7","1","Drink"
"7","2","Alcohol"
"7","3","Alcohol dependency"
