"PHEC_result_ID","title","summary","date_range","source","publication_date","id","information_types","topics"
"1","Statistics on Alcohol: England, 2006","This statistical bulletin presents a range of information on alcohol use and misuse; drawn together from a variety of sources. \n The topics covered include drinking among adults and school children, drinking in pregnancy, alcohol related crime, drinking related ill health and mortality, economic costs associated with alcohol as well as a summary of government plans and targets in this area.","April 01, 2005 to March 31, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=935","June 30, 2006","935","Official statistics","Illnesses and conditions"
"2","Statistics on Drug Misuse - England, 2007","For the first time, this annual statistical bulletin presents information on drug misuse among both adults and children. The topics covered include:  \n \n prevalence of drug misuse, including the types of drugs used  \n trends in drug misuse over recent years  \n patterns of drug misuse among different groups of the population, including &#39;vulnerable groups&#39;  \n european comparisons of drug misuse  \n drugs and crime  \n health outcomes related to drug misuse including hospital admissions, drug treatment and deaths related to drug misuse.  \n The bulletin also summarises Government plans and targets in this area, as well as providing sources of further information and links to relevant documents. ","January 01, 2001 to December 31, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=994","April 23, 2007","994","Official statistics","Public health"
"3","Statistics on Alcohol: England, 2007","This statistical bulletin presents a range of information on alcohol use and misuse which are drawn together from a variety of sources. The bulletin aims to present a broad picture, in a user friendly format, of health issues relating to alcohol in England and covers topics such as drinking habits and behaviours among adults and school children, drinking in pregnancy, European comparisons of alcohol use, drinking-related ill health and mortality and alcohol-related costs. Most of the data contained in the bulletin have been published previously elsewhere. Government plans and recommendations in this area are also summarised in the bulletin.  \n For the first time the bulletin includes information on types of alcohol consumed by adults, whether adults keep a check on the units they consume, alcohol-related hospital admissions for adults and children presented separately and trends in reported household consumption. For children, the bulletin now includes data on drinking and substance use, and truancy and exclusion, as well as ethnicity and European comparisons. ","April 01, 2005 to December 31, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=938","June 26, 2007","938","Official statistics","Illnesses and conditions"
"4","NHS Contraceptive Services - England, 2004-2005","NHS contraceptive services in England are provided principally by General Practitioners and family planning clinics. Services are also provided by voluntary organisations and by the private sector. \n View the author&#39;s site for similar information","April 01, 2004 to March 31, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=962","October 28, 2005","962","Official statistics","Public health"
"5","NHS Contraceptive Services - England, 2005-2006","This bulletin contains information on NHS community contraception services on KT31 return, it includes services provided by: \n \n trusts in NHS clinics and as domiciliary visits  \n brook services  \n It does not include services provided by consultants in out-patient clinics or those provided by General Practitioners. However limited data is presented in this publication on out-patient clinics from The Information Centres Hospital Episode Statistics (HES) and prescription data from the Prescribing Support Unit (PSU).  \n &#39;Contraception and Sexual Health 2005/06&#39;, is published on the same day by the Office for National Statistics (ONS) on behalf of The Information Centre. This is a sample survey of women aged 16 to 49 and men aged 16-69, in Great Britain, and gives an overview of all contraception used irrespective of whether it is provided by the NHS or not. It also asks about sexual behaviour and knowledge of sexually transmitted infections. \n Detailed results from this survey are available from the  ONS web site .  \n ISBN Reference : 1-84636-083-8 ","April 01, 2005 to March 31, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=965","October 24, 2006","965","Official statistics","Public health"
"6","Statistics on Young People and Drug Misuse - England, 2006","This statistical bulletin, which focuses on young people, presents a range of data on drug misuse, drawn together from a variety of sources. The topics covered include drug misuse and attitudes to drug taking among secondary school children, drug misuse among young people, drugs and crime, drug treatment, morbidity and a summary of government plans and targets in this area.","January 01, 2005 to December 31, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=998","May 25, 2006","998","Official statistics","Public health"
"7","Statistics on Alcohol: England, 2008","This statistical report presents a range of information on alcohol use and misuse drawn together from a variety of published sources. This report also includes additional analysis undertaken by The NHS Information Centre, which is presented in a user friendly format.  \n This report aims to present a broad picture of health issues relating to alcohol in England. It covers topics such as drinking habits and behaviours among adults and school children, drinking related ill health and mortality, affordability of alcohol and alcohol related costs. Government plans and recommendations in this area are also summarised in this report. ","January 01, 2006 to December 31, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=942","May 22, 2008","942","Official statistics","Illnesses and conditions"
"8","NHS Contraceptive Services - England, 2006-2007","August 2014 Note: \n Table 11 is incorrect. Specifically, the figures for IU devices and IU systems from 2006-07 onwards have been swapped around.&#160; Please see the 2012-13 report for correct and more recent figures (see link below). We apologise for any inconvenience this may have caused. \n ---------- \n This bulletin contains information on NHS community contraception services on KT31 return, it includes services provided by: \n trusts in NHS clinics and as domiciliary visits  brook services.  It does not include services provided by consultants in out-patient clinics or those provided by General Practitioners. However limited data is presented in this publication on out-patient clinics from The Information Centres&#39; (ICs&#39;) Hospital Episode Statistics (HES) and prescription data from the Prescribing Support Unit (PSU).  \n Some of the data for 2005-06 have been revised in this bulletin and the tables are marked accordingly.  \n &#39;Contraception and Sexual Health 2006-07&#39;, is published on the same day by the Office for National Statistics (ONS) on behalf of The IC. This is a sample survey of women aged 16 to 49 and men aged 16-69, in Great Britain, and gives an overview of all contraception used irrespective of whether it is provided by the NHS or not. It also asks about sexual behaviour and knowledge of sexually transmitted infections. \n Detailed results from this survey are available from the ONS web site.  \n ISBN Reference: 978-1-84636-164-7 ","April 01, 2006 to March 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=967","October 29, 2007","967","Official statistics","Public health"
"9","Statistics on Alcohol: England, 2009","This statistical report presents a range of information on alcohol use and misuse drawn together from a variety of published sources and presented in a user friendly format.  \n The report aims to present a broad picture of health issues relating to alcohol in England and covers topics such as drinking habits and behaviours among adults and school children, drinking related ill health and mortality, affordability of alcohol and alcohol related costs. ","January 01, 2007 to December 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=946","May 20, 2009","946","Official statistics","Illnesses and conditions"
"10","Statistics on Drug Misuse - England, 2008","This annual statistical report presents information on drug misuse among both adults and children. It includes a focus on young adults. The topics covered include:  \n \n prevalence of drug misuse, including the types of drugs used  \n trends in drug misuse over recent years  patterns of drug misuse among different groups of the population  \n health outcomes related to drug misuse including hospital admissions, drug treatment and deaths related to drug misuse  \n The bulletin also summarises government plans and targets in this area, as well as providing sources of further information and links to relevant documents. \n The bulletin draws together data from a variety of different sources and presents it in a user-friendly format. Most of the data contained in the bulletin have been published previously, by The NHS Information Centre, Department of Health, the Home Office, Office for National Statistics, the Health Protection Agency or the National Treatment Agency for Substance Misuse. Previously unpublished figures on drug-related admissions to hospital are presented.","January 01, 2006 to December 31, 2008","http://content.digital.nhs.uk/searchcatalogue?productid=1001","August 14, 2008","1001","Official statistics","Public health"
